Zika in Colombia,colombia-clinic.jpg,http://www.npr.org/templates/search/index.php?searchinput=colombia+becky+sullivan,"As the Zika virus swept across the country of Colombia, NPR sent me with a global health reporter, and we sent back these gripping stories.","Field producer, reporter, photographer"
Drug Prices,figure_1.png,/drugs,Prescription drugs are getting more expensive – and it’s happening much faster than inflation. I wrote an app to help pinpoint how and why.,"Python/Flask developer, data reporter"
Gas Leak Over Los Angeles,gasleak.jpg,http://www.npr.org/sections/health-shots/2016/02/05/465712700/families-near-the-huge-gas-leak-wonder-is-home-a-safe-place-to-be,"On October 23, 2015, the major natural gas company in Los Angeles discovered an enormous methane leak. I spearheaded our coverage. ","Field producer, writer, booker"
Drought in California,reservoir.jpg,http://www.npr.org/2015/04/05/397659871/will-turning-seawater-into-drinking-water-help-drought-hit-california,"The biggest environmental story in California has been its years-long drought. In stories like this one about a desalination plant in Santa Barbara, I helped explain and humanize the crisis. ","Field producer, writer, booker, photographer"
